7.5039 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
88.9484 	EXP 	fixation: autoDraw = False
88.9484 	EXP 	grating: autoDraw = True
89.2482 	EXP 	grating: autoDraw = False
89.7677 	EXP 	New trial (rep=33, index=0): None
89.7688 	DATA 	Keypress: up
89.7815 	EXP 	fixation: autoDraw = False
89.7815 	EXP 	grating: autoDraw = False
89.7815 	EXP 	grating: ori = -5.0
89.7815 	EXP 	fixation: autoDraw = True
90.7815 	EXP 	fixation: autoDraw = False
90.7815 	EXP 	grating: autoDraw = True
91.0817 	EXP 	grating: autoDraw = False
91.5005 	EXP 	New trial (rep=34, index=0): None
91.5015 	DATA 	Keypress: down
91.5151 	EXP 	fixation: autoDraw = False
91.5151 	EXP 	grating: autoDraw = False
91.5151 	EXP 	grating: ori = 0.0
91.5151 	EXP 	fixation: autoDraw = True
92.5150 	EXP 	fixation: autoDraw = False
92.5150 	EXP 	grating: autoDraw = True
92.8150 	EXP 	grating: autoDraw = False
93.3004 	EXP 	New trial (rep=35, index=0): None
93.3015 	DATA 	Keypress: up
93.3151 	EXP 	fixation: autoDraw = False
93.3151 	EXP 	grating: autoDraw = False
93.3151 	EXP 	grating: ori = 0.0
93.3151 	EXP 	fixation: autoDraw = True
94.3151 	EXP 	fixation: autoDraw = False
94.3151 	EXP 	grating: autoDraw = True
94.6150 	EXP 	grating: autoDraw = False
95.2337 	EXP 	New trial (rep=36, index=0): None
95.2348 	DATA 	Keypress: up
95.2484 	EXP 	fixation: autoDraw = False
95.2484 	EXP 	grating: autoDraw = False
95.2484 	EXP 	grating: ori = -2.0
95.2484 	EXP 	fixation: autoDraw = True
96.2482 	EXP 	fixation: autoDraw = False
96.2482 	EXP 	grating: autoDraw = True
96.5484 	EXP 	grating: autoDraw = False
97.0506 	EXP 	New trial (rep=37, index=0): None
97.0517 	DATA 	Keypress: down
97.0650 	EXP 	fixation: autoDraw = False
97.0650 	EXP 	grating: autoDraw = False
97.0650 	EXP 	grating: ori = 0.0
97.0650 	EXP 	fixation: autoDraw = True
98.0648 	EXP 	fixation: autoDraw = False
98.0648 	EXP 	grating: autoDraw = True
98.3647 	EXP 	grating: autoDraw = False
98.9839 	EXP 	New trial (rep=38, index=0): None
98.9849 	DATA 	Keypress: down
98.9980 	EXP 	fixation: autoDraw = False
98.9980 	EXP 	grating: autoDraw = False
98.9980 	EXP 	grating: ori = 0.0
98.9980 	EXP 	fixation: autoDraw = True
99.9982 	EXP 	fixation: autoDraw = False
99.9982 	EXP 	grating: autoDraw = True
100.2980 	EXP 	grating: autoDraw = False
100.7670 	EXP 	New trial (rep=39, index=0): None
100.7680 	DATA 	Keypress: up
100.7814 	EXP 	fixation: autoDraw = False
100.7814 	EXP 	grating: autoDraw = False
100.7814 	EXP 	grating: ori = 0.0
100.7814 	EXP 	fixation: autoDraw = True
101.7816 	EXP 	fixation: autoDraw = False
101.7816 	EXP 	grating: autoDraw = True
102.0816 	EXP 	grating: autoDraw = False
102.5839 	EXP 	New trial (rep=40, index=0): None
102.5849 	DATA 	Keypress: up
102.5982 	EXP 	fixation: autoDraw = False
102.5982 	EXP 	grating: autoDraw = False
102.5982 	EXP 	grating: ori = 0.0
102.5982 	EXP 	fixation: autoDraw = True
103.5980 	EXP 	fixation: autoDraw = False
103.5980 	EXP 	grating: autoDraw = True
103.8981 	EXP 	grating: autoDraw = False
104.3671 	EXP 	New trial (rep=41, index=0): None
104.3681 	DATA 	Keypress: up
104.3815 	EXP 	fixation: autoDraw = False
104.3815 	EXP 	grating: autoDraw = False
104.3815 	EXP 	grating: ori = 0.0
104.3815 	EXP 	fixation: autoDraw = True
105.3816 	EXP 	fixation: autoDraw = False
105.3816 	EXP 	grating: autoDraw = True
105.6813 	EXP 	grating: autoDraw = False
105.9505 	EXP 	New trial (rep=42, index=0): None
105.9515 	DATA 	Keypress: up
105.9647 	EXP 	fixation: autoDraw = False
105.9647 	EXP 	grating: autoDraw = False
105.9647 	EXP 	grating: ori = -3.0
105.9647 	EXP 	fixation: autoDraw = True
106.9649 	EXP 	fixation: autoDraw = False
106.9649 	EXP 	grating: autoDraw = True
107.2651 	EXP 	grating: autoDraw = False
108.1335 	EXP 	New trial (rep=43, index=0): None
108.1345 	DATA 	Keypress: down
108.1480 	EXP 	fixation: autoDraw = False
108.1480 	EXP 	grating: autoDraw = False
108.1480 	EXP 	grating: ori = -5.0
108.1480 	EXP 	fixation: autoDraw = True
109.1481 	EXP 	fixation: autoDraw = False
109.1481 	EXP 	grating: autoDraw = True
109.4480 	EXP 	grating: autoDraw = False
116.9002 	EXP 	New trial (rep=44, index=0): None
116.9013 	DATA 	Keypress: down
116.9144 	EXP 	fixation: autoDraw = False
116.9144 	EXP 	grating: autoDraw = False
116.9144 	EXP 	grating: ori = 0.0
116.9144 	EXP 	fixation: autoDraw = True
117.9144 	EXP 	fixation: autoDraw = False
117.9144 	EXP 	grating: autoDraw = True
118.2143 	EXP 	grating: autoDraw = False
118.8001 	EXP 	New trial (rep=45, index=0): None
118.8011 	DATA 	Keypress: up
118.8144 	EXP 	fixation: autoDraw = False
118.8144 	EXP 	grating: autoDraw = False
118.8144 	EXP 	grating: ori = -2.0
118.8144 	EXP 	fixation: autoDraw = True
119.8146 	EXP 	fixation: autoDraw = False
119.8146 	EXP 	grating: autoDraw = True
120.1144 	EXP 	grating: autoDraw = False
121.0333 	EXP 	New trial (rep=46, index=0): None
121.0344 	DATA 	Keypress: down
121.0479 	EXP 	fixation: autoDraw = False
121.0479 	EXP 	grating: autoDraw = False
121.0479 	EXP 	grating: ori = -4.0
121.0479 	EXP 	fixation: autoDraw = True
122.0479 	EXP 	fixation: autoDraw = False
122.0479 	EXP 	grating: autoDraw = True
122.3476 	EXP 	grating: autoDraw = False
122.8834 	EXP 	New trial (rep=47, index=0): None
122.8844 	DATA 	Keypress: down
122.8978 	EXP 	fixation: autoDraw = False
122.8978 	EXP 	grating: autoDraw = False
122.8978 	EXP 	grating: ori = 0.0
122.8978 	EXP 	fixation: autoDraw = True
123.8976 	EXP 	fixation: autoDraw = False
123.8976 	EXP 	grating: autoDraw = True
124.1976 	EXP 	grating: autoDraw = False
124.6668 	EXP 	New trial (rep=48, index=0): None
124.6678 	DATA 	Keypress: up
124.6811 	EXP 	fixation: autoDraw = False
124.6811 	EXP 	grating: autoDraw = False
124.6811 	EXP 	grating: ori = -5.0
124.6811 	EXP 	fixation: autoDraw = True
125.6811 	EXP 	fixation: autoDraw = False
125.6811 	EXP 	grating: autoDraw = True
125.9811 	EXP 	grating: autoDraw = False
126.6333 	EXP 	New trial (rep=49, index=0): None
126.6343 	DATA 	Keypress: down
126.6476 	EXP 	fixation: autoDraw = False
126.6476 	EXP 	grating: autoDraw = False
126.6476 	EXP 	grating: ori = 0.0
126.6476 	EXP 	fixation: autoDraw = True
127.6478 	EXP 	fixation: autoDraw = False
127.6478 	EXP 	grating: autoDraw = True
127.9477 	EXP 	grating: autoDraw = False
128.4338 	EXP 	New trial (rep=50, index=0): None
128.4349 	DATA 	Keypress: up
128.4482 	EXP 	fixation: autoDraw = False
128.4482 	EXP 	grating: autoDraw = False
128.4482 	EXP 	grating: ori = 1.0
128.4482 	EXP 	fixation: autoDraw = True
129.4474 	EXP 	fixation: autoDraw = False
129.4474 	EXP 	grating: autoDraw = True
129.7476 	EXP 	grating: autoDraw = False
130.1360 	EXP 	New trial (rep=51, index=0): None
130.1377 	DATA 	Keypress: up
130.1479 	EXP 	fixation: autoDraw = False
130.1479 	EXP 	grating: autoDraw = False
130.1479 	EXP 	grating: ori = -2.0
130.1479 	EXP 	fixation: autoDraw = True
131.1354 	EXP 	grating: autoDraw = True
131.1508 	EXP 	fixation: autoDraw = False
131.4481 	EXP 	grating: autoDraw = False
132.0166 	EXP 	New trial (rep=52, index=0): None
132.0176 	DATA 	Keypress: down
132.0310 	EXP 	fixation: autoDraw = False
132.0310 	EXP 	grating: autoDraw = False
132.0310 	EXP 	grating: ori = 4.0
132.0310 	EXP 	fixation: autoDraw = True
133.0310 	EXP 	fixation: autoDraw = False
133.0310 	EXP 	grating: autoDraw = True
133.3313 	EXP 	grating: autoDraw = False
134.3507 	EXP 	New trial (rep=53, index=0): None
134.3521 	DATA 	Keypress: down
134.3641 	EXP 	fixation: autoDraw = False
134.3641 	EXP 	grating: autoDraw = False
134.3641 	EXP 	grating: ori = -4.0
134.3641 	EXP 	fixation: autoDraw = True
135.3643 	EXP 	fixation: autoDraw = False
135.3643 	EXP 	grating: autoDraw = True
135.6640 	EXP 	grating: autoDraw = False
136.2833 	EXP 	New trial (rep=54, index=0): None
136.2843 	DATA 	Keypress: down
136.2977 	EXP 	fixation: autoDraw = False
136.2977 	EXP 	grating: autoDraw = False
136.2977 	EXP 	grating: ori = -2.0
136.2977 	EXP 	fixation: autoDraw = True
137.2975 	EXP 	fixation: autoDraw = False
137.2975 	EXP 	grating: autoDraw = True
137.5975 	EXP 	grating: autoDraw = False
138.0501 	EXP 	New trial (rep=55, index=0): None
138.0511 	DATA 	Keypress: up
138.0639 	EXP 	fixation: autoDraw = False
138.0639 	EXP 	grating: autoDraw = False
138.0639 	EXP 	grating: ori = 0.0
138.0639 	EXP 	fixation: autoDraw = True
139.0643 	EXP 	fixation: autoDraw = False
139.0643 	EXP 	grating: autoDraw = True
139.3643 	EXP 	grating: autoDraw = False
139.8010 	EXP 	New trial (rep=56, index=0): None
139.8026 	DATA 	Keypress: up
139.8141 	EXP 	fixation: autoDraw = False
139.8141 	EXP 	grating: autoDraw = False
139.8141 	EXP 	grating: ori = 1.0
139.8141 	EXP 	fixation: autoDraw = True
140.8139 	EXP 	fixation: autoDraw = False
140.8139 	EXP 	grating: autoDraw = True
141.1142 	EXP 	grating: autoDraw = False
141.6999 	EXP 	New trial (rep=57, index=0): None
141.7010 	DATA 	Keypress: down
141.7142 	EXP 	fixation: autoDraw = False
141.7142 	EXP 	grating: autoDraw = False
141.7142 	EXP 	grating: ori = 0.0
141.7142 	EXP 	fixation: autoDraw = True
